,protein V1,protein V2,protein V3,protein V4,protein V5,protein V6
Slc43a2,16989.75579318235,371349.4162746673,930403.3198464087,1142908.88314085,1073830.7138244382,1199221.4908193925
Slc44a1,0.0,3496.1570523614596,7776.294095939604,31902.873283608413,12920.934636270584,21193.343953298267
Slc4a2,3224.96338720854,10769.113998161454,11288.07854056958,9432.72197120712,20573.247275672093,13654.034627961955
Slc4a4,4134.486406945606,25354.55122791006,34980.15797130404,35937.73922229222,31047.999682323516,61848.060770912176
Slc4a7,5580.451175959333,16250.647317058887,30232.136838498052,40786.47604996363,38187.079132231636,42728.31825867631
Slc51b,58952.469033183195,235501.2644243411,416657.25403968757,907501.3217457598,910482.5540782375,986219.7194571594
Slc52a2,0.0,13057.572832423348,56080.65547393638,45822.748545383656,59511.09180695425,73179.02591959081
Slc52a3,0.0,93606.26939614475,167011.78030738872,220989.639884751,222668.3784621779,221990.75420984137
Slc5a1,597733.63140235,3836186.6219552658,7073606.549004208,8957079.209009342,9711183.649452357,8941145.387411544
Slc5a11,8212.406765100806,53738.84154181826,128257.35141332405,243112.95060518757,166952.02010797604,200312.8167497285
Slc5a9,0.0,0.0,2729.5130588115044,27242.27265071246,49941.8412355071,62174.96186634186
Slc6a19,22289.530408863764,1061726.2499952593,1375101.3616427258,2732506.080643953,2705744.4973524855,2783980.4482635874
Slc6a8,0.0,0.0,7698.950614901942,11659.134432265273,9204.478588341737,9257.650571164875
Slc7a1,0.0,0.0,0.0,6567.721257904111,0.0,5324.955741410959
Slc7a5,14921.626947696586,16605.83699052927,10052.970284784255,4985.378723461831,5938.202136094657,5283.285256065181
Slc7a7,134847.09531238885,656663.0121146729,824990.3116015366,935239.584134774,970794.9395035863,920667.2248145208
Slc7a8,93199.96024079491,280500.74797923677,364338.96936647873,500526.28772339394,552009.877499389,475886.44518118683
Slc9a1,12253.843784596309,17229.1642681098,38329.71655316739,37898.71382793923,31655.985054063396,21776.61105623218
Slc9a3,0.0,140175.03461511317,160356.72463383444,274892.7488710722,300841.97090788645,246467.20919165452
Slc9a3r1,3105645.0614618305,5663045.529819374,9776534.449616507,13473486.863493938,14102726.59637682,15996234.772649063
Slirp,0.0,182527.2425229695,25644.947695337243,232857.52956672708,56359.91603223908,125102.40517191617
Slk,13198.51102828472,7944.155782467717,9327.632836978815,5713.089013304831,6370.368487529585,9182.280901962235
Slmap,2292.9208959982693,14511.238364029276,2916.455349934561,45219.607053959975,25092.726378412593,32468.667673041964
Sltm,10723.829829681847,33454.49240690515,28166.912362032082,38336.76849299649,30168.50494840234,27945.513784325376
Smap1,86069.16302250675,77601.99417425967,23578.211405929374,74433.4763663564,82105.53295042981,117264.61252465598
Smap2,0.0,3956.993567576679,3180.353075314859,3311.7112699321724,4020.327862257199,4129.913244027167
Smarca4,19695.812944900834,8708440.844635941,733563.5036077828,25281.20179905455,19864.34673574073,24342.007321049106
Smarca5,138621.2629313134,108056.92893495597,125140.73887961786,121414.37864893391,115830.53263520918,104886.93612810588
Smarcb1,0.0,0.0,0.0,13483.737541157981,7268.168275455791,11424.083939654589
Smarcc2,10066.606413414858,19363.236284582646,18649.989971007915,24039.890015023717,27154.10251999472,25609.519567577852
Smarcd2,8232.727763448158,5838.5528954963875,4570.912387549115,6675.572036664899,7547.3104939089435,7048.484056765431
Smarce1,48011.89815582388,71447.3103072446,116734.47198706941,101128.34409172213,90674.12803438108,86241.38971265608
Smc1a,99000.84612499762,105092.37092328396,81785.05743296245,95504.16650288405,108416.75039385319,117197.17993367535
Smc2,6995.241812542546,1816.7926550985626,0.0,1080.7989181411033,4500.236491888156,899.8687826354186
Smc3,71379.27757544673,88509.36034249335,73247.04970548963,74345.73239913596,68068.59518464858,68601.6787310843
Smc4,3045.807516576221,0.0,0.0,1861.2146410507332,1868.7821950448033,0.0
Smc5,0.0,5321.63372253653,14528.87477093733,4509.072537667184,4859.922375086011,6486.2765659662555
Smdt1,0.0,9127.135175687723,11781.506618029349,0.0,1120.3622173968763,4642.489009314588
Smek1,12295.879958778109,13460.932583215008,13614.9709472037,12184.332603142486,12027.409322053065,6711.6419686065865
Smim24,782055.074177789,4492702.4340093015,7327171.892087918,9000691.422613872,10440094.688086037,8882657.560559357
Smpd2,49731.23236441982,165816.48398449735,177401.1138308132,191070.84952104895,160190.51697239833,165276.4033268222
Smpdl3a,25862.147571063524,33076.108998503354,41950.03165502119,14375.013277746148,10737.474042555257,7433.637362860023
