,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep9.0,10594.375492230547,32429.647551421265,35881.29712984558,24832.30464820077,19133.20098005908,11097.009141127135
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep90.0,9229.700210282452,35487.10827462346,35770.911279279346,27153.113735931103,18731.233851539448,10923.44436006846
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep91.0,10107.54998472976,30837.656959975728,36456.265863130175,29358.858611216783,17601.108985936404,10921.442930081135
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep92.0,9998.636659090287,33948.57351499751,31953.912416071384,27113.734897509086,20050.186950012216,10420.91628896309
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep93.0,10743.962129165284,29173.966521647686,40342.75157357103,28644.264724993,21194.986810919214,11947.578177911444
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep94.0,9907.31799591949,34194.84016225468,36918.96683573377,29979.48632984086,18959.78937057944,10315.00818161003
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep95.0,10244.917350653584,30885.214269915403,31844.84396543997,27459.600404327444,19288.18837169714,11034.277112054624
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep96.0,10565.954737595632,33445.89003314272,37986.391395152255,29889.35648514495,18020.206600752383,10883.198115798792
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep97.0,9056.922594098083,34083.32097029961,36588.69985209993,24386.079092146992,19476.728650846762,10308.576608085983
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep98.0,10837.942507698886,37980.90466040907,36081.048178896715,26475.218486510243,19472.084191413112,10817.547766483394
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep99.0,10262.915907152828,33330.92232496859,34482.94663898938,28213.827900374745,17343.634770450088,11291.517339678448
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep1.0,11225.779791187659,36034.987869283264,34978.22088490124,26322.24946604545,20763.735394054882,10246.894110755473
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep10.0,10614.993887015797,35642.592402099086,35028.534097228185,28978.580466109855,17110.6299608723,7318.383837966556
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep100.0,8308.81155419855,34939.451957664656,40314.43825689762,34352.527461581674,17684.880396027318,10006.803694307144
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep11.0,9316.687655915935,39756.80392302283,39130.69750800576,30370.668305890093,19812.325489728664,12142.160688784072
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep12.0,9595.809733587059,34823.89737660246,34681.08272948173,21675.338809249602,20056.7972800793,10665.536913136055
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep13.0,8506.030630777921,38219.87454163838,39281.332556973255,30045.975492967445,20481.12194195293,11029.925699025473
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep14.0,10076.527025926578,35021.75134787442,37405.299432371336,24914.66407154737,17604.059863601266,11853.914690438012
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep15.0,11866.370754186324,36804.37043815291,37842.019183558274,25483.352955900467,23073.04808663808,10492.450035238362
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep16.0,11475.7587496524,32377.550231776662,33446.62257067311,24666.05543174827,21506.458504845312,9200.594927653196
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep17.0,10146.91107347832,35547.80107653337,35431.91490726795,27246.86522765953,18091.8640426375,9624.462236373978
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep18.0,11125.247249834787,35601.32245307474,34375.95523032263,24273.645284747618,18571.012912793707,12889.535387798796
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep19.0,10684.203827891815,37783.38400906846,35680.46437204066,30795.300653954822,18701.2840069933,12178.028616117965
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep2.0,11159.58367959192,36405.389121567525,35008.882214094134,28347.030795663522,17286.60992399608,13426.997116694782
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep20.0,10018.16699475517,25180.46207151529,32047.498322419517,24727.018507317807,16544.568950224984,10991.197293973833
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep21.0,10480.48450612697,39007.987590788565,32489.165342641987,25164.338005947764,19791.29704028301,10501.206041169035
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep22.0,9827.96225056511,27192.680711599223,36895.46276932426,27524.822734084733,16530.400203937137,10855.92082683209
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep23.0,10517.158183386511,34099.76854334162,33528.46773336878,25863.555588990017,17179.10662870015,9365.539410166559
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep24.0,9462.012256810876,35470.2482680604,34735.64582265462,23763.718478654253,20002.56733343356,9968.373162795851
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep25.0,8925.48367457738,37323.01538321138,31512.16177101336,30574.247284125326,14818.799398817362,13144.137019217404
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep26.0,9776.248567889437,32947.327916773516,34389.05115077623,27429.109097351968,18668.867109604656,9908.42001647224
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep27.0,9371.643106296182,25873.0453925783,36955.054362179595,28201.557469716954,14725.532203189547,11307.872000038158
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep28.0,7839.9428161152655,25992.58431841785,35244.18115800936,29816.929496555233,20568.98137106122,9332.827161199944
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep29.0,11736.900173207085,42382.241423210275,28555.313080278516,26174.12722776708,20083.893375320986,11900.7040506714
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep3.0,9740.887824351263,35663.37687481643,36173.1907138991,28146.448374786953,19169.510179090412,10242.633489956736
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep30.0,7257.202436391899,34891.115451439975,39488.772672505394,27774.958611629787,14963.685983025778,10636.26632413904
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep31.0,8491.799500483528,30704.613462927184,35466.21639256005,24141.38857654732,18067.81218953612,9275.217486784008
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep32.0,11628.417112111316,28776.126363623553,40069.47956009768,23975.11619777338,20050.177789563608,8140.601830848143
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep33.0,10005.56154764902,39333.22287923129,32507.92034651003,30276.75563364412,16377.141546019142,9007.27720526598
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep34.0,9164.885437800056,28020.505834068746,30386.84590485428,23481.444356801658,16058.104038668449,12225.781395565602
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep35.0,10918.974148983696,29889.64894822151,29260.558393517324,28659.232937527286,18278.86592356682,9548.987764672192
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep36.0,8718.556470958501,33341.60649570788,30415.559207076898,31217.24187168794,18136.71119626189,12793.580840156175
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep37.0,10595.087094360195,31539.24866962895,31631.179140313965,27801.547226710103,22661.085494609495,9720.219784580155
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep38.0,12775.081235296011,38091.97974862372,42076.65261524805,29442.30740298179,21714.67269870468,10344.553184000597
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep39.0,11552.124480199567,29894.683174559264,40152.76898870681,30707.059951578616,24410.076943230346,10068.191572137746
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep4.0,8024.046280835277,33484.920365643455,38541.85052443627,26275.682169469852,18794.47754797248,11420.614142303646
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep40.0,11232.521353554985,33155.519134251794,44343.55811205091,32343.052798364577,19538.48107067749,11184.081554980623
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep41.0,10499.290064833122,37243.22014211551,33888.5567894257,27412.524966503515,19488.127378781974,10286.47960453395
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep42.0,7862.2281364246355,28444.107948751356,37527.536807600016,22585.814037025717,17768.527011638413,11057.649829376634
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep43.0,9935.606806505088,32447.19538766342,30608.823587602215,22377.83132146095,19787.933815592525,9827.67883545141
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep44.0,11377.714377045437,37073.96599739842,37913.34382667789,20743.062892706148,17961.92063448654,8394.08692971648
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep45.0,8902.285362769417,28170.249083467985,29288.516077973956,29817.86173691501,19732.786870761764,10585.000746413614
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep46.0,8792.800531508477,33637.29242762816,41153.26781182893,32004.49236144138,15308.579994465723,10431.29442942821
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep47.0,9763.110359554468,37412.31923325274,34209.91946721665,27203.14777499256,20021.73559466028,11349.6832959017
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep48.0,9684.354716291566,35802.355831524335,32504.104230103236,29179.445474834803,19018.342972210045,10132.203011950733
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep49.0,10369.135389852101,33382.869897529104,33971.93845446073,33912.26286666698,19297.218732158377,11067.95712744406
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep5.0,8597.525874951367,34297.539533979914,38615.39851599077,23433.87906877407,18872.653077286504,12929.033994592697
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep50.0,11109.455294722291,26174.279410294577,31713.96520136416,34063.565796246985,20739.208192948827,12994.387154149292
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep51.0,11333.080292645322,35286.84436952658,31540.62268584701,24921.545491039138,15973.173514145496,10765.947242485363
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.09_0.11]_rep52.0,10920.11382544407,31884.274631258162,36088.059972279676,25606.381280629197,17334.119395949958,11690.611397452496
